Sl. No,Year,District,No of station,Depth to Water Level (mbgl) - 0 - 2 - No,Depth to Water Level (mbgl) - 0 - 2 - %,Depth to Water Level (mbgl) - 45048 - No,Depth to Water Level (mbgl) - 45048 - %,Depth to Water Level (mbgl) - 45204 - No,Depth to Water Level (mbgl) - 45204 - %,Depth to Water Level (mbgl) - 44105 - No,Depth to Water Level (mbgl) - 44105 - %,Depth to Water Level (mbgl) - 20 - 40 - No,Depth to Water Level (mbgl) - 20 - 40 - %,Depth to Water Level (mbgl) - > 40 - No,Depth to Water Level (mbgl) - > 40 - %
28,2020,Tiruvarur,8,2,25,6,75,0,0,0,0,0,0,0,0
29,2020,Tuticorin,28,8,28.6,13,46.4,7,25,0,0,0,0,0,0
30,2020,Vellore,26,4,15.4,6,23.1,9,34.6,7,26.9,0,0,0,0
31,2020,Villupuram,30,2,6.7,13,43.3,14,46.7,1,3.3,0,0,0,0
32,2020,Virudhunagar,12,2,16.7,3,25,5,41.7,2,16.7,0,0,0,0
Total,Total,Total,640,114,17.8,208,32.5,196,30.6,95,14.8,20,3.1,7,1.1
1,2021,Ariyalur,4,3,75,0,0,1,25,0,0,0,0,0,0
2,2021,Chennai,9,5,55.6,4,44.4,0,0,0,0,0,0,0,0
3,2021,Coimbatore,25,6,24,3,12,5,20,8,32,1,4,2,8
4,2021,Cuddalore,20,10,50,1,5,2,10,0,0,2,10,5,25
5,2021,Dharmapuri,13,0,0,5,38.5,5,38.5,3,23.1,0,0,0,0
6,2021,Dindigul,27,7,25.9,9,33.3,7,25.9,3,11.1,1,3.7,0,0
7,2021,Erode,39,6,15.4,18,46.2,12,30.8,3,7.7,0,0,0,0
8,2021,Kancheepuram,23,16,69.6,4,17.4,3,13,0,0,0,0,0,0
9,2021,Kanyakumari,11,5,45.5,3,27.3,3,27.3,0,0,0,0,0,0
10,2021,Karur,7,2,28.6,1,14.3,4,57.1,0,0,0,0,0,0
11,2021,Krishnagiri,12,2,16.7,3,25,6,50,0,0,1,8.3,0,0
12,2021,Madurai,9,2,22.2,3,33.3,3,33.3,1,11.1,0,0,0,0
13,2021,Nagapattinam,6,4,66.7,1,16.7,0,0,1,16.7,0,0,0,0
14,2021,Namakkal,19,3,15.8,8,42.1,6,31.6,2,10.5,0,0,0,0
15,2021,Nilgiris,7,4,57.1,2,28.6,0,0,1,14.3,0,0,0,0
16,2021,Perambalur,10,6,60,4,40,0,0,0,0,0,0,0,0
17,2021,Pudukkottai,23,21,91.3,2,8.7,0,0,0,0,0,0,0,0
18,2021,Ramanathapuram,22,16,72.7,3,13.6,2,9.1,1,4.5,0,0,0,0
19,2021,Salem,25,7,28,9,36,5,20,4,16,0,0,0,0
20,2021,Sivaganga,10,4,40,4,40,2,20,0,0,0,0,0,0
21,2021,Thanjavur,10,7,70,2,20,0,0,1,10,0,0,0,0
22,2021,Theni,11,1,9.1,3,27.3,5,45.5,1,9.1,1,9.1,0,0
23,2021,Thiruvannamalai,18,4,22.2,6,33.3,7,38.9,1,5.6,0,0,0,0
24,2021,Tiruchirappalli,19,9,47.4,6,31.6,3,15.8,0,0,1,5.3,0,0
25,2021,Tirunelveli,41,16,39,10,24.4,11,26.8,4,9.8,0,0,0,0
26,2021,Tiruppur,15,7,46.7,3,20,4,26.7,1,6.7,0,0,0,0
27,2021,Tiruvallur,11,9,81.8,2,18.2,0,0,0,0,0,0,0,0
28,2021,Tiruvarur,6,6,100,0,0,0,0,0,0,0,0,0,0
29,2021,Tuticorin,26,13,50,9,34.6,4,15.4,0,0,0,0,0,0
30,2021,Vellore,23,8,34.8,6,26.1,4,17.4,5,21.7,0,0,0,0
31,2021,Villupuram,24,21,87.5,3,12.5,0,0,0,0,0,0,0,0
32,2021,Virudhunagar,16,0,0,5,31.3,9,56.3,2,12.5,0,0,0,0
Total,Total,Total,541,230,42.5,142,26.2,113,20.9,42,7.8,7,1.3,7,1.3
